Project Name,Package Name,Architecture Smell,Cause of the Smell
PocketMaps,com.junjunguo.pocketmaps.model.listeners,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MapHandlerListener]; [NavigatorListener]; [OnClickAddressListener]; [OnClickMapListener]; [OnProgressListener]; [TrackingListener]. LCC (Lack of Component Cohesion) = 1.0
PocketMaps,com.junjunguo.pocketmaps.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.model; com.junjunguo.pocketmaps.util
PocketMaps,com.junjunguo.pocketmaps.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.model; com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.navigator
PocketMaps,com.junjunguo.pocketmaps.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.model; com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.navigator,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.navigator; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.navigator,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.navigator; com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.fragments
PocketMaps,com.junjunguo.pocketmaps.navigator,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.db
PocketMaps,com.junjunguo.pocketmaps.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map
PocketMaps,com.junjunguo.pocketmaps.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map; com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.fragments
PocketMaps,com.junjunguo.pocketmaps.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.navigator; com.junjunguo.pocketmaps.model; com.junjunguo.pocketmaps.geocoding
PocketMaps,com.junjunguo.pocketmaps.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Calorie]; [GenerateGPX]; [GeoMath; TargetDirComputer; Variable; IO; JsonWrapper; LightSensor; SpeedUtil; UnitCalculator]; [MyUtility]; [SetStatusBarColor]. LCC (Lack of Component Cohesion) = 0.42
PocketMaps,com.villoren.android.kalmanlocationmanager.lib,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.villoren.android.kalmanlocationmanager.lib; com.junjunguo.pocketmaps.activities
PocketMaps,com.villoren.android.kalmanlocationmanager.lib,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.junjunguo.pocketmaps.activities
